iShares Biotechnology ETF
Fund Holdings as of,"Dec 26, 2025"
Inception Date,"Feb 05, 2001"
Shares Outstanding,"50,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IONS","IONIS PHARMACEUTICALS INC","Health Care","Equity","94,823,356.90","1.10","94,823,356.90","1,186,330.00","79.93","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","93,148,649.20","1.08","93,148,649.20","1,228,874.00","75.80","United States","NASDAQ","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","92,262,684.41","1.07","92,262,684.41","154,051.00","598.91","United States","NASDAQ","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","Health Care","Equity","89,668,746.72","1.04","89,668,746.72","1,939,203.00","46.24","United States","NASDAQ","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","84,755,031.90","0.98","84,755,031.90","1,413,762.00","59.95","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","80,760,981.60","0.94","80,760,981.60","2,588,493.00","31.20","United States","NASDAQ","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","74,395,891.82","0.86","74,395,891.82","1,031,414.00","72.13","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","73,972,977.88","0.86","73,972,977.88","363,218.00","203.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASND","ASCENDIS PHARMA ADR REPRESENTING","Health Care","Equity","72,289,734.66","0.84","72,289,734.66","345,917.00","208.98","Denmark","NASDAQ","USD","1.00","USD","-"
"ROIV","ROIVANT SCIENCES LTD","Health Care","Equity","71,828,953.56","0.83","71,828,953.56","3,231,172.00","22.23","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","68,066,402.04","0.79","68,066,402.04","1,149,382.00","59.22","United States","NASDAQ","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","Health Care","Equity","66,040,219.30","0.77","66,040,219.30","397,330.00","166.21","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","65,991,022.64","0.77","65,991,022.64","940,579.00","70.16","United States","NASDAQ","USD","1.00","USD","-"
"HALO","HALOZYME THERAPEUTICS INC","Health Care","Equity","59,763,526.51","0.69","59,763,526.51","867,773.00","68.87","United States","NASDAQ","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","56,545,928.90","0.66","56,545,928.90","895,990.00","63.11","United States","NASDAQ","USD","1.00","USD","-"
"ABVX","ABIVAX AMERICAN DEPOSITARY SHARES","Health Care","Equity","56,076,543.95","0.65","56,076,543.95","394,045.00","142.31","France","NASDAQ","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","51,178,160.00","0.59","51,178,160.00","465,256.00","110.00","United States","NASDAQ","USD","1.00","USD","-"
"BNTX","BIONTECH SE ADR","Health Care","Equity","48,523,259.80","0.56","48,523,259.80","513,365.00","94.52","Germany","NASDAQ","USD","1.00","USD","-"
"TEM","TEMPUS AI INC CLASS A","Health Care","Equity","47,618,831.70","0.55","47,618,831.70","759,471.00","62.70","United States","NASDAQ","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","47,152,045.05","0.55","47,152,045.05","175,319.00","268.95","United States","NASDAQ","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","46,961,250.70","0.55","46,961,250.70","308,854.00","152.05","United States","NASDAQ","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","46,884,202.91","0.54","46,884,202.91","185,923.00","252.17","United States","NASDAQ","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","45,232,726.88","0.53","45,232,726.88","575,773.00","78.56","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","44,479,932.42","0.52","44,479,932.42","946,986.00","46.97","United States","NASDAQ","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","39,211,728.94","0.46","39,211,728.94","441,673.00","88.78","United States","NASDAQ","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","37,606,751.28","0.44","37,606,751.28","682,766.00","55.08","United States","NASDAQ","USD","1.00","USD","-"
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","37,252,894.03","0.43","37,252,894.03","357,874.00","104.10","United States","NASDAQ","USD","1.00","USD","-"
"BRKR","BRUKER CORP","Health Care","Equity","36,955,025.36","0.43","36,955,025.36","769,736.00","48.01","United States","NASDAQ","USD","1.00","USD","-"
"KYMR","KYMERA THERAPEUTICS INC","Health Care","Equity","36,218,464.24","0.42","36,218,464.24","445,382.00","81.32","United States","NASDAQ","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","35,721,583.20","0.41","35,721,583.20","918,765.00","38.88","United States","NASDAQ","USD","1.00","USD","-"
"ACAD","ACADIA PHARMACEUTICALS INC","Health Care","Equity","34,448,409.74","0.40","34,448,409.74","1,247,227.00","27.62","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","34,297,145.19","0.40","34,297,145.19","1,203,831.00","28.49","United States","NASDAQ","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS INC","Health Care","Equity","33,053,612.72","0.38","33,053,612.72","1,714,399.00","19.28","United States","NASDAQ","USD","1.00","USD","-"
"FOLD","AMICUS THERAPEUTICS INC","Health Care","Equity","32,103,654.00","0.37","32,103,654.00","2,252,888.00","14.25","United States","NASDAQ","USD","1.00","USD","-"
"CRNX","CRINETICS PHARMACEUTICALS INC","Health Care","Equity","31,533,508.16","0.37","31,533,508.16","657,496.00","47.96","United States","NASDAQ","USD","1.00","USD","-"
"APGE","APOGEE THERAPEUTICS INC","Health Care","Equity","27,456,254.68","0.32","27,456,254.68","355,099.00","77.32","United States","NASDAQ","USD","1.00","USD","-"
"SRRK","SCHOLAR ROCK HOLDING CORP","Health Care","Equity","26,959,229.35","0.31","26,959,229.35","590,305.00","45.67","United States","NASDAQ","USD","1.00","USD","-"
"TVTX","TRAVERE THERAPEUTICS INC","Health Care","Equity","25,999,757.08","0.30","25,999,757.08","655,897.00","39.64","United States","NASDAQ","USD","1.00","USD","-"
"XENE","XENON PHARMACEUTICALS INC","Health Care","Equity","24,966,329.08","0.29","24,966,329.08","556,787.00","44.84","United States","NASDAQ","USD","1.00","USD","-"
"MIRM","MIRUM PHARMACEUTICALS INC","Health Care","Equity","24,823,201.62","0.29","24,823,201.62","313,187.00","79.26","United States","NASDAQ","USD","1.00","USD","-"
"VCYT","VERACYTE INC","Health Care","Equity","24,464,807.22","0.28","24,464,807.22","575,778.00","42.49","United States","NASDAQ","USD","1.00","USD","-"
"CAI","CARIS LIFE SCIENCES INC","Health Care","Equity","24,257,337.91","0.28","24,257,337.91","859,123.00","28.23","United States","NASDAQ","USD","1.00","USD","-"
"TARS","TARSUS PHARMACEUTICALS INC","Health Care","Equity","23,822,023.32","0.28","23,822,023.32","291,294.00","81.78","United States","NASDAQ","USD","1.00","USD","-"
"TERN","TERNS PHARMACEUTICALS INC","Health Care","Equity","23,500,652.16","0.27","23,500,652.16","566,008.00","41.52","United States","NASDAQ","USD","1.00","USD","-"
"ARQT","ARCUTIS BIOTHERAPEUTICS INC","Health Care","Equity","23,309,001.27","0.27","23,309,001.27","804,591.00","28.97","United States","NASDAQ","USD","1.00","USD","-"
"LEGN","LEGEND BIOTECH ADR REP CORP","Health Care","Equity","23,308,456.56","0.27","23,308,456.56","1,034,552.00","22.53","China","NASDAQ","USD","1.00","USD","-"
"GPCR","STRUCTURE THERAPEUTICS ADR INC","Health Care","Equity","23,194,322.64","0.27","23,194,322.64","339,396.00","68.34","United States","NASDAQ","USD","1.00","USD","-"
"GRAL","GRAIL INC","Health Care","Equity","22,955,110.11","0.27","22,955,110.11","250,629.00","91.59","United States","NASDAQ","USD","1.00","USD","-"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Health Care","Equity","22,945,045.76","0.27","22,945,045.76","671,104.00","34.19","United States","NASDAQ","USD","1.00","USD","-"
"IDYA","IDEAYA BIOSCIENCES INC","Health Care","Equity","22,050,300.80","0.26","22,050,300.80","626,429.00","35.20","United States","NASDAQ","USD","1.00","USD","-"
"ACLX","ARCELLX INC","Health Care","Equity","21,242,991.64","0.25","21,242,991.64","323,284.00","65.71","United States","NASDAQ","USD","1.00","USD","-"
"NAMS","NEWAMSTERDAM PHARMA NV","Health Care","Equity","19,907,022.86","0.23","19,907,022.86","564,418.00","35.27","United States","NASDAQ","USD","1.00","USD","-"
"VERA","VERA THERAPEUTICS INC CLASS A","Health Care","Equity","19,485,009.96","0.23","19,485,009.96","363,662.00","53.58","United States","NASDAQ","USD","1.00","USD","-"
"APLS","APELLIS PHARMACEUTICALS INC","Health Care","Equity","19,369,953.13","0.22","19,369,953.13","775,729.00","24.97","United States","NASDAQ","USD","1.00","USD","-"
"BEAM","BEAM THERAPEUTICS INC","Health Care","Equity","19,151,050.90","0.22","19,151,050.90","684,455.00","27.98","United States","NASDAQ","USD","1.00","USD","-"
"ADPT","ADAPTIVE BIOTECHNOLOGIES CORP","Health Care","Equity","18,289,572.80","0.21","18,289,572.80","1,095,184.00","16.70","United States","NASDAQ","USD","1.00","USD","-"
"WVE","WAVE LIFE SCIENCES LTD","Health Care","Equity","17,931,831.39","0.21","17,931,831.39","1,009,107.00","17.77","United States","NASDAQ","USD","1.00","USD","-"
"NUVB","NUVATION BIO INC CLASS A","Health Care","Equity","16,811,787.20","0.20","16,811,787.20","1,788,488.00","9.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYRE","SPYRE THERAPEUTICS INC","Health Care","Equity","16,620,436.98","0.19","16,620,436.98","504,567.00","32.94","United States","NASDAQ","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","16,454,576.25","0.19","16,454,576.25","975,375.00","16.87","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","16,330,842.08","0.19","16,330,842.08","738,284.00","22.12","United States","NASDAQ","USD","1.00","USD","-"
"IRON","DISC MEDICINE INC","Health Care","Equity","16,095,641.77","0.19","16,095,641.77","200,369.00","80.33","United States","NASDAQ","USD","1.00","USD","-"
"DYN","DYNE THERAPEUTICS INC","Health Care","Equity","15,691,780.92","0.18","15,691,780.92","783,023.00","20.04","United States","NASDAQ","USD","1.00","USD","-"
"MLYS","MINERALYS THERAPEUTICS INC","Health Care","Equity","15,652,058.76","0.18","15,652,058.76","421,434.00","37.14","United States","NASDAQ","USD","1.00","USD","-"
"EWTX","EDGEWISE THERAPEUTICS INC","Health Care","Equity","15,034,256.00","0.17","15,034,256.00","570,560.00","26.35","United States","NASDAQ","USD","1.00","USD","-"
"ZYME","ZYMEWORKS INC","Health Care","Equity","14,648,126.76","0.17","14,648,126.76","545,148.00","26.87","United States","NASDAQ","USD","1.00","USD","-"
"CGON","CG ONCOLOGY INC","Health Care","Equity","14,574,069.60","0.17","14,574,069.60","365,815.00","39.84","United States","NASDAQ","USD","1.00","USD","-"
"IMVT","IMMUNOVANT INC","Health Care","Equity","14,501,926.80","0.17","14,501,926.80","554,355.00","26.16","United States","NASDAQ","USD","1.00","USD","-"
"NRIX","NURIX THERAPEUTICS INC","Health Care","Equity","14,402,933.80","0.17","14,402,933.80","746,266.00","19.30","United States","NASDAQ","USD","1.00","USD","-"
"AUPH","AURINIA PHARMACEUTICALS INC","Health Care","Equity","14,334,628.75","0.17","14,334,628.75","882,131.00","16.25","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","14,312,765.20","0.17","14,312,765.20","433,064.00","33.05","United States","NASDAQ","USD","1.00","USD","-"
"VCEL","VERICEL CORP","Health Care","Equity","14,085,404.90","0.16","14,085,404.90","374,015.00","37.66","United States","NASDAQ","USD","1.00","USD","-"
"SMMT","SUMMIT THERAPEUTICS INC","Health Care","Equity","13,965,768.32","0.16","13,965,768.32","769,888.00","18.14","United States","NASDAQ","USD","1.00","USD","-"
"TXG","10X GENOMICS INC CLASS A","Health Care","Equity","13,804,554.03","0.16","13,804,554.03","837,147.00","16.49","United States","NASDAQ","USD","1.00","USD","-"
"CNTA","CENTESSA PHARMACEUTICALS AMERICAN","Health Care","Equity","13,545,521.46","0.16","13,545,521.46","534,762.00","25.33","United Kingdom","NASDAQ","USD","1.00","USD","-"
"DVAX","DYNAVAX TECHNOLOGIES CORP","Health Care","Equity","13,418,188.72","0.16","13,418,188.72","872,444.00","15.38","United States","NASDAQ","USD","1.00","USD","-"
"SNDX","SYNDAX PHARMACEUTICALS INC","Health Care","Equity","13,418,467.50","0.16","13,418,467.50","629,975.00","21.30","United States","NASDAQ","USD","1.00","USD","-"
"RXRX","RECURSION PHARMACEUTICALS INC CLAS","Health Care","Equity","13,185,616.50","0.15","13,185,616.50","3,102,498.00","4.25","United States","NASDAQ","USD","1.00","USD","-"
"RCUS","ARCUS BIOSCIENCES INC","Health Care","Equity","12,932,085.57","0.15","12,932,085.57","560,073.00","23.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MNKD","MANNKIND CORP","Health Care","Equity","12,902,314.41","0.15","12,902,314.41","2,228,379.00","5.79","United States","NASDAQ","USD","1.00","USD","-"
"OLMA","OLEMA PHARMACEUTICALS INC","Health Care","Equity","12,429,767.48","0.14","12,429,767.48","473,876.00","26.23","United States","NASDAQ","USD","1.00","USD","-"
"FTRE","FORTREA HOLDINGS INC","Health Care","Equity","11,955,279.00","0.14","11,955,279.00","687,085.00","17.40","United States","NASDAQ","USD","1.00","USD","-"
"AGIO","AGIOS PHARMACEUTICALS INC","Health Care","Equity","11,508,066.18","0.13","11,508,066.18","410,709.00","28.02","United States","NASDAQ","USD","1.00","USD","-"
"ZLAB","ZAI LABORATORY ADR REPRESENTING LT","Health Care","Equity","11,494,358.07","0.13","11,494,358.07","627,079.00","18.33","China","NASDAQ","USD","1.00","USD","-"
"BCRX","BIOCRYST PHARMACEUTICALS INC","Health Care","Equity","11,083,658.46","0.13","11,083,658.46","1,452,642.00","7.63","United States","NASDAQ","USD","1.00","USD","-"
"STOK","STOKE THERAPEUTICS INC","Health Care","Equity","10,946,995.92","0.13","10,946,995.92","342,951.00","31.92","United States","NASDAQ","USD","1.00","USD","-"
"KOD","KODIAK SCIENCES INC","Health Care","Equity","10,943,207.24","0.13","10,943,207.24","366,116.00","29.89","United States","NASDAQ","USD","1.00","USD","-"
"QURE","UNIQURE NV","Health Care","Equity","10,529,537.67","0.12","10,529,537.67","424,407.00","24.81","United States","NASDAQ","USD","1.00","USD","-"
"IMCR","IMMUNOCORE HOLDINGS ADR PLC","Health Care","Equity","10,367,214.46","0.12","10,367,214.46","286,942.00","36.13","United Kingdom","NASDAQ","USD","1.00","USD","-"
"NVCR","NOVOCURE LTD","Health Care","Equity","10,113,680.04","0.12","10,113,680.04","750,273.00","13.48","United States","NASDAQ","USD","1.00","USD","-"
"ORKA","ORUKA THERAPEUTICS INC","Health Care","Equity","10,112,648.70","0.12","10,112,648.70","319,011.00","31.70","United States","NASDAQ","USD","1.00","USD","-"
"MESO","MESOBLAST ADR REPRESENTING LTD","Health Care","Equity","10,105,602.00","0.12","10,105,602.00","518,236.00","19.50","Australia","NASDAQ","USD","1.00","USD","-"
"TSHA","TAYSHA GENE THERAPIES INC","Health Care","Equity","9,774,385.61","0.11","9,774,385.61","1,676,567.00","5.83","United States","NASDAQ","USD","1.00","USD","-"
"ANAB","ANAPTYSBIO INC","Health Care","Equity","9,754,971.00","0.11","9,754,971.00","194,710.00","50.10","United States","NASDAQ","USD","1.00","USD","-"
"MNMD","MIND MEDICINE SUBORDINATE VOTING I","Health Care","Equity","9,336,058.54","0.11","9,336,058.54","714,859.00","13.06","United States","NASDAQ","USD","1.00","USD","-"
"GLPG","GALAPAGOS ADR REPRESENTING NV","Health Care","Equity","9,297,119.25","0.11","9,297,119.25","281,475.00","33.03","Belgium","NASDAQ","USD","1.00","USD","-"
"GRFS","GRIFOLS ADR REPRESENTING ONE NON-V","Health Care","Equity","8,529,930.50","0.10","8,529,930.50","937,355.00","9.10","Spain","NASDAQ","USD","1.00","USD","-"
"AMLX","AMYLYX PHARMACEUTICALS INC","Health Care","Equity","8,393,992.74","0.10","8,393,992.74","680,778.00","12.33","United States","NASDAQ","USD","1.00","USD","-"
"CSTL","CASTLE BIOSCIENCES INC","Health Care","Equity","8,375,573.98","0.10","8,375,573.98","212,605.00","39.40","United States","NASDAQ","USD","1.00","USD","-"
"RLAY","RELAY THERAPEUTICS INC","Health Care","Equity","8,331,405.20","0.10","8,331,405.20","973,295.00","8.56","United States","NASDAQ","USD","1.00","USD","-"
"ATAI","ATAI BECKLEY N V NV","Health Care","Equity","8,292,274.98","0.10","8,292,274.98","2,037,414.00","4.07","United States","NASDAQ","USD","1.00","USD","-"
"MAZE","MAZE THERAPEUTICS INC","Health Care","Equity","8,212,110.20","0.10","8,212,110.20","195,062.00","42.10","United States","NASDAQ","USD","1.00","USD","-"
"TRVI","TREVI THERAPEUTICS INC","Health Care","Equity","8,048,995.85","0.09","8,048,995.85","626,381.00","12.85","United States","NASDAQ","USD","1.00","USD","-"
"SION","SIONNA THERAPEUTICS INC","Health Care","Equity","7,995,657.90","0.09","7,995,657.90","182,967.00","43.70","United States","NASDAQ","USD","1.00","USD","-"
"NTLA","INTELLIA THERAPEUTICS INC","Health Care","Equity","7,756,527.04","0.09","7,756,527.04","821,666.00","9.44","United States","NASDAQ","USD","1.00","USD","-"
"STVN","STEVANATO GROUP","Health Care","Equity","7,677,298.80","0.09","7,677,298.80","370,884.00","20.70","Italy","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XNCR","XENCOR INC","Health Care","Equity","7,632,708.24","0.09","7,632,708.24","501,492.00","15.22","United States","NASDAQ","USD","1.00","USD","-"
"NVAX","NOVAVAX INC","Health Care","Equity","7,573,343.05","0.09","7,573,343.05","1,108,835.00","6.83","United States","NASDAQ","USD","1.00","USD","-"
"BHVN","BIOHAVEN LTD","Health Care","Equity","7,348,195.65","0.09","7,348,195.65","659,031.00","11.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IOVA","IOVANCE BIOTHERAPEUTICS INC","Health Care","Equity","7,096,314.75","0.08","7,096,314.75","2,489,935.00","2.85","United States","NASDAQ","USD","1.00","USD","-"
"TYRA","TYRA BIOSCIENCES INC","Health Care","Equity","7,072,101.08","0.08","7,072,101.08","272,423.00","25.96","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","6,818,426.90","0.08","6,818,426.90","6,818,427.00","1.00","United States","-","USD","1.00","USD","-"
"CDNA","CAREDX INC","Health Care","Equity","6,759,754.80","0.08","6,759,754.80","347,010.00","19.48","United States","NASDAQ","USD","1.00","USD","-"
"KURA","KURA ONCOLOGY INC","Health Care","Equity","6,703,820.13","0.08","6,703,820.13","630,651.00","10.63","United States","NASDAQ","USD","1.00","USD","-"
"TBPH","THERAVANCE BIOPHARMA INC","Health Care","Equity","6,655,135.80","0.08","6,655,135.80","353,245.00","18.84","United States","NASDAQ","USD","1.00","USD","-"
"URGN","UROGEN PHARMA LTD","Health Care","Equity","6,649,129.48","0.08","6,649,129.48","288,716.00","23.03","United States","NASDAQ","USD","1.00","USD","-"
"RAPP","RAPPORT THERAPEUTICS INC","Health Care","Equity","6,342,060.40","0.07","6,342,060.40","210,002.00","30.20","United States","NASDAQ","USD","1.00","USD","-"
"GERN","GERON CORP","Health Care","Equity","6,220,097.29","0.07","6,220,097.29","4,540,217.00","1.37","United States","NASDAQ","USD","1.00","USD","-"
"ABCL","ABCELLERA BIOLOGICS INC","Health Care","Equity","6,172,363.92","0.07","6,172,363.92","1,724,124.00","3.58","Canada","NASDAQ","USD","1.00","USD","-"
"MBX","MBX BIOSCIENCES INC","Health Care","Equity","6,118,478.10","0.07","6,118,478.10","198,009.00","30.90","United States","NASDAQ","USD","1.00","USD","-"
"INBX","INHIBRX BIOSCIENCES INC","Health Care","Equity","6,101,574.70","0.07","6,101,574.70","76,070.00","80.21","United States","NASDAQ","USD","1.00","USD","-"
"RIGL","RIGEL PHARMACEUTICALS INC","Health Care","Equity","5,813,897.04","0.07","5,813,897.04","132,104.00","44.01","United States","NASDAQ","USD","1.00","USD","-"
"SEPN","SEPTERNA INC","Health Care","Equity","5,749,815.24","0.07","5,749,815.24","200,902.00","28.62","United States","NASDAQ","USD","1.00","USD","-"
"TNGX","TANGO THERAPEUTICS INC","Health Care","Equity","5,743,528.20","0.07","5,743,528.20","662,460.00","8.67","United States","NASDAQ","USD","1.00","USD","-"
"JANX","JANUX THERAPEUTICS INC","Health Care","Equity","5,731,122.00","0.07","5,731,122.00","402,184.00","14.25","United States","NASDAQ","USD","1.00","USD","-"
"UPB","UPSTREAM BIO INC","Health Care","Equity","5,650,461.08","0.07","5,650,461.08","191,671.00","29.48","United States","NASDAQ","USD","1.00","USD","-"
"SANA","SANA BIOTECHNOLOGY INC","Health Care","Equity","5,469,467.22","0.06","5,469,467.22","1,240,242.00","4.41","United States","NASDAQ","USD","1.00","USD","-"
"GLUE","MONTE ROSA THERAPEUTICS INC","Health Care","Equity","5,456,015.11","0.06","5,456,015.11","315,559.00","17.29","United States","NASDAQ","USD","1.00","USD","-"
"PHAT","PHATHOM PHARMACEUTICALS INC","Health Care","Equity","5,424,547.40","0.06","5,424,547.40","308,915.00","17.56","United States","NASDAQ","USD","1.00","USD","-"
"ABUS","ARBUTUS BIOPHARMA CORP","Health Care","Equity","5,367,863.52","0.06","5,367,863.52","1,122,984.00","4.78","United States","NASDAQ","USD","1.00","USD","-"
"REPL","REPLIMUNE GROUP INC","Health Care","Equity","5,308,510.68","0.06","5,308,510.68","532,983.00","9.96","United States","NASDAQ","USD","1.00","USD","-"
"IBRX","IMMUNITYBIO INC","Health Care","Equity","5,292,288.48","0.06","5,292,288.48","2,473,032.00","2.14","United States","NASDAQ","USD","1.00","USD","-"
"ELVN","ENLIVEN THERAPEUTICS INC","Health Care","Equity","5,270,800.60","0.06","5,270,800.60","323,362.00","16.30","United States","NASDAQ","USD","1.00","USD","-"
"DAWN","DAY ONE BIOPHARMACEUTICALS INC","Health Care","Equity","5,196,158.10","0.06","5,196,158.10","549,858.00","9.45","United States","NASDAQ","USD","1.00","USD","-"
"SPRY","ARS PHARMACEUTICALS INC","Health Care","Equity","5,081,170.00","0.06","5,081,170.00","446,500.00","11.38","United States","NASDAQ","USD","1.00","USD","-"
"PHVS","PHARVARIS N V NV","Health Care","Equity","5,062,870.40","0.06","5,062,870.40","196,540.00","25.76","Netherlands","NASDAQ","USD","1.00","USD","-"
"ALMS","ALUMIS INC","Health Care","Equity","5,027,243.84","0.06","5,027,243.84","458,272.00","10.97","United States","NASDAQ","USD","1.00","USD","-"
"ARVN","ARVINAS INC","Health Care","Equity","5,026,068.48","0.06","5,026,068.48","413,328.00","12.16","United States","NASDAQ","USD","1.00","USD","-"
"RGNX","REGENXBIO INC","Health Care","Equity","4,883,472.48","0.06","4,883,472.48","344,878.00","14.16","United States","NASDAQ","USD","1.00","USD","-"
"ATXS","ASTRIA THERAPEUTICS INC","Health Care","Equity","4,836,734.35","0.06","4,836,734.35","373,493.00","12.95","United States","NASDAQ","USD","1.00","USD","-"
"RAPT","RAPT THERAPEUTICS INC","Health Care","Equity","4,732,430.78","0.05","4,732,430.78","133,609.00","35.42","United States","NASDAQ","USD","1.00","USD","-"
"ANNX","ANNEXON INC","Health Care","Equity","4,697,755.86","0.05","4,697,755.86","919,326.00","5.11","United States","NASDAQ","USD","1.00","USD","-"
"EBS","EMERGENT BIOSOLUTIONS INC","Health Care","Equity","4,687,800.48","0.05","4,687,800.48","377,136.00","12.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
